No.,Company,Location_HQ,Region,USState,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,Year,latitude,longitude,month
1,Tamara Mellon,Los Angeles,other,California,USA,North America,20,12-Mar-20,40,50,30,Retail,Series C,90,2020,34.0536909,-118.242766,Mar
2,HopSkipDrive,Los Angeles,other,California,USA,North America,8,13-Mar-20,10,80,72,Transportation,Unknown,45,2020,34.0536909,-118.242766,Mar
3,Panda Squad,San Francisco,San Francisco Bay Area,California,USA,North America,6,13-Mar-20,75,8,2,Consumer,Seed,1,2020,37.7792588,-122.4193286,Mar
4,Help.com,Austin,other,Texas,USA,North America,16,16-Mar-20,100,16,0,Support,Seed,6,2020,30.2711286,-97.7436995,Mar
5,Inspirato,Denver,other,Colorado,USA,North America,130,16-Mar-20,22,591,461,Travel,Series C,79,2020,39.7392364,-104.984862,Mar
6,Flytedesk,Boulder,other,Colorado,USA,North America,4,18-Mar-20,20,20,16,Marketing,Seed,4,2020,40.0149856,-105.270545,Mar
7,Remote Year,Chicago,other,Illinois,USA,North America,50,19-Mar-20,50,100,50,Travel,Series B,17,2020,41.8755616,-87.6244212,Mar
8,CTO.ai,Vancouver,Cascadia,British Columbia,Canada,North America,30,20-Mar-20,50,60,30,Infrastructure,Seed,7,2020,49.2608724,-123.113952,Mar
9,Flywheel Sports,New York City,other,New York,USA,North America,784,20-Mar-20,98,800,16,Fitness,Acquired,120,2020,40.7127281,-74.0060152,Mar
10,Compass,New York City,other,New York,USA,North America,375,23-Mar-20,15,2500,2125,Real Estate,Series G,1600,2020,40.7127281,-74.0060152,Mar
11,Convene,New York City,other,New York,USA,North America,150,23-Mar-20,18,833,683,Real Estate,Series D,280,2020,40.7127281,-74.0060152,Mar
12,GrayMeta,Los Angeles,other,California,USA,North America,20,23-Mar-20,40,50,30,Data,Unknown,7,2020,34.0536909,-118.242766,Mar
13,Ladder Life,Palo Alto,San Francisco Bay Area,California,USA,North America,13,23-Mar-20,25,52,39,Finance,Series C,94,2020,37.4443293,-122.1598465,Mar
14,Leafly,Seattle,Cascadia,Washington,USA,North America,91,23-Mar-20,50,182,91,Retail,Acquired,2,2020,47.6038321,-122.330062,Mar
15,The Guild,Austin,other,Texas,USA,North America,38,23-Mar-20,22,173,135,Travel,Series B,36,2020,30.2711286,-97.7436995,Mar
16,Triplebyte,San Francisco,San Francisco Bay Area,California,USA,North America,15,23-Mar-20,17,88,73,HR,Series B,48,2020,37.7792588,-122.4193286,Mar
17,Foodsby,Minneapolis,other,Minnesota,USA,North America,87,24-Mar-20,67,130,43,Food,Series B,20,2020,44.9772995,-93.2654692,Mar
18,Sonder,San Francisco,San Francisco Bay Area,California,USA,North America,400,24-Mar-20,33,1212,812,Travel,Series D,359,2020,37.7792588,-122.4193286,Mar
19,Zeus Living,San Francisco,San Francisco Bay Area,California,USA,North America,80,24-Mar-20,30,267,187,Real Estate,Series B,79,2020,37.7792588,-122.4193286,Mar
20,Jama,Portland,Cascadia,Oregon,USA,North America,12,25-Mar-20,5,240,228,Product,Unknown,233,2020,45.5202471,-122.674194,Mar
21,OutboundEngine,Austin,other,Texas,USA,North America,52,25-Mar-20,28,186,134,Marketing,Series C,48,2020,30.2711286,-97.7436995,Mar
